Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Briogeo,"Briogeo Be Gentle, Be Kind, Aloe + Oat Milk, Ultra Soothing Detangling Spray",03,Detangler,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
Water/Aqua/Eau, Polyglyceryl-6 Stearate*, Isopropyl Palmitate*, Vitis Vinifera (Grape) Seed Oil*, Glycerin*, Limnanthes Alba (Meadowfoam) Seed Oil*, Aloe Barbadensis Leaf Juice*, Avena Sativa (Oat) Bran Extract*, Camellia Sinensis Leaf Extract*, Simmondsia Chinensis (Jojoba) Seed Oil*, Cetrimonium Chloride*, Cetearyl Alcohol*, Panthenol, Leuconostoc/Radish Root Ferment Filtrate*, Glyceryl Stearate*, Polyglyceryl-6 Behenate*, Tocopheryl Acetate, Citric Acid*, Potassium Sorbate, Sodium Benzoate, Caprylhydroxamic Acid*, Benzyl Alcohol*","Product's animal testing policies,Leaping Bunny"
Luv Naturals,"Luv Naturals Hair Detangler, ""Don't Be So Clingy""",03,Detangler,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
Aloe barbadensis (Organic Aloe) Juice, Behentrimonium Methosulfate, Cetearyl Alcohol, Citrus sinensis (Orange, Sweet) Essential Oil, Ulmus fulva (Slippery Elm) Extract, Kosher Vegetable Glycerin, Mangifera indica (Mango) Butter, Corylus avellana (Hazelnut) Oil, Olea europaea (Organic Olive) Extra Virgin Oil, Helianthus annuus (Sunflower) Oil, Cocos nucifera (Coconut) Organic Oil, Brassica oleracea italica (Broccoli) Seed Oil, Mica, Phenoxyethanol, Caprylyl Glycol, Sorbic Acid","Product's animal testing policies,Unknown"
,Cvs Pharmacy Hair Detangling Spray,03,Detangler,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
WATER, BEHENTRIMONIUM METHOSULFATE, SODIUM BENZOATE, DIMETHICONE, HYDROXYETHYL BEHENAMIDOPROPYL DIMONIUM CHLORIDE, POLYSORBATE 20, CETEARYL ALCOHOL, CETETH - 10, LAURETH-4, PHENOXYETHANOL, ETHYLHEXYLGLYCERIN","Product's animal testing policies,Unknown"
Flora &amp; Curl,"Flora & Curl Leave-in Detangler, Organic Rose & Honey",03,Conditioner,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
Aqua (Distilled Water), Rosa Damascena (Organic Rose Damask) Flower Water*, Behentrimonium Methosulfate***, Hydroxypropyltrimonium (Honey), Cocos Nucifera (Organic Coconut) Oil*, Cetearyl Alcohol, Panthenol (Pro-Vitamin B5), Calendula Officinalis (Calendula) Flower Extract, Cananga Odorata (Ylang Ylang) Flower Oil, Phenoxyethanol, Ethylhexylglycerin, Vegetable Glycerin, Avena Sativa Meal (Oat Silk) Extract, Sodium Benzoate, Potassium Sorbate, Litsea Cubeba (May Chang) Flower Oil, Tocopherol (Vitamin E), Benzyl Benzoate**, Benzyl Salicylate**, Linalool**, Citral**, Geraniol**, Limonene**","Product's animal testing policies,Unknown"
amika,Amika the wizard silicone-free detangling hair primer,03,Detangler,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
isododecane, isopropyl palmitate, isohexadecane, ethylhexyl olivate, hippophae rhamnoides (sea buckthorn/argousier) fruit/seed oil, squalane, persea gratissima (avocado/avocat) oil, tocopheryl acetate, fragrance/parfum","Product's animal testing policies,Unknown"
TruKid,TruKid Dancing Detangler,04,Detangler,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
Purified Water, Aloe Barbadensis (Aloe Vera) Leaf Juice, Glycerin (vegetable derived), Panthenol (Pro-Vitamin B5), Soy Protein, Polysorbate-20 (fruit derived), Arnica Cordifolia (Arnica), Lavandula Angustifolia (Lavender) flower/leaf/stem extract, Chamomilla Recutita Matricaria (Chamomile) Oil, Calendula officinalis flower (calendula), Camellia Sinensis (White Tea) Extract, Phenoxyethanol (rose derived), Ethylhexylglycerin (vegetable derived), Citrus Grandis (grapefruit) Oil, Citrus Aurantium Dulcis (orange) Oil","Product's animal testing policies,Unknown"
Creme of Nature,Creme of Nature Butter Blend & Flaxseed Double Duty Detangle & Slip Shampoo,04,Detangler,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
AQUA/WATER/EAU, SODIUM C14-16 OLEFIN SULFONATE, COCAMIDE MEA, GLYCERIN, COCAMIDOPROPYL BETAINE, POLYSORBATE 20, ARGANIA SPINOSA KERNEL OIL, LINUM USITATISSIMUM (LINSEED) SEED OIL, MANGIFERA INDICA (MANGO) SEED BUTTER, THEOBROMA CACAO (COCOA) SEED BUTTER, PANTHENOL, PARFUM (FRAGRANCE) , GLYCOL DISTEARATE , GLYCOL STEARATE, MICA, POLYQUATERNIUM-10, SODIUM ACETATE, PHENOXYETHANOL, SODIUM BENZOATE, SODIUM CHLORIDE, TETRASODIUM EDTA, CITRIC ACID, TITANIUM DIOXIDE (CI 77891) B01992.","Product's animal testing policies,Unknown"
Shea Moisture,SheaMoisture Raw Shea Butter Deep Moisturizing Detangler,04,Detangler,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
WATER (EAU), GLYCERIN (VEGETABLE/VGTALE), CETEARYL ALCOHOL, BUTYROSPERMUM PARKII (SHEA) BUTTER* , STEARAMIDOPROPYL DIMETHYLAMINE, CAPRYLOYL GLYCERIN/ SEBACIC ACID COPOLYMER, BEHENTRIMONIUM CHLORIDE, ARGANIA SPINOSA (ARGAN) KERNEL OIL, MACROCYSTIS PYRIFERA (KELP) EXTRACT, PANTHENOL, POLYQUATERNIUM_7, DIHEPTYL SUCCINATE, SODIUM CHLORIDE, CITRIC ACID, SODIUM BENZOATE, TRIETHYL CITRATE, CAPRYLYL GLYCOL, BENZOIC ACID, FRAGRANCE (PARFUM)","Product's animal testing policies,PETA Cruelty-free Companies"
Cantu,Cantu Shea Butter Coil Calm Detangler,04,Detangler,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
AQUA (WATER), GLYCERIN, POLYQUATERNIUM-37, CETRIMONIUM CHLORIDE, CETEARYL ALCOHOL, PHENOXYETHANOL, PROPYLENE GLYCOL DICAPRYLATE/DICAPRATE, BUTYROSPERMUM PARKII (SHEA) BUTTER, (FRAGRANCE), CETEARETH-20, TRIDECETH-12, PANTHENOL, PPG-1 TRIDECETH-6, ETHYLHEXYLGLYCERIN, POLYESTER-11, C11-15-ISOALKANES, SODIUM CHLORIDE, BENZYL BENZOATE, COUMARIN, HEXYL CINNAMAL.","Product's animal testing policies,Unknown"
DevaCurl,"DevaCurl, Wash Day Wonder Pre Cleanse Slip Detangler Treatment",04,Detangler,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
WATER (AQUA, EAU), GLYCERIN, PEG-40 HYDROGENATED CASTOR OIL, PENTACLETHRA MACROLOBA SEED OIL, CROCUS SATIVUS FLOWER EXTRACT, CHENOPODIUM QUINOA SEED, MELISSA OFFICINALIS EXTRACT, HUMULUS LUPULUS (HOPS) EXTRACT, CYMBOPOGON SCHOENANTHUS EXTRACT, CHAMOMILLA RECUTITA (MATRICARIA) EXTRACT, ROSMARINUS OFFICINALIS (ROSEMARY) EXTRACT, ACHILLEA MILLEFOLIUM EXTRACT, ALLANTOIN, BETAINE, HYDROXYETHYL UREA, HYDROXYPROPYLGLUCONAMIDE, HYDROXYPROPYLAMMONIUM GLUCONATE, LACTIC ACID, POLYQUATERNIUM-37, CAPRYL GLYCOL, PHENOXYETHANOL, SORBIC ACID, FRAGRANCE (PARFUM).","Product's animal testing policies,PETA Cruelty-free Companies"
Drybar,Drybar Liquid Glass Moisture Rich Miracle Smoothing Sealant,04,Detangler,MODERATE,HIGH,LOW,HIGH,"Ingredients from packaging:
AQUA (WATER, EAU), DIPROPYLENE GLYCOL, CETYL TRIETHYLMONIUM DIMETHICONE PEG-8 SUCCINATE, POLYSILICONE-29, MANGIFERA INDICA (MANGO) SEED BUTTER, COCOS NUCIFERA (COCONUT) OIL, BRASSICA CAMPESTRIS (RAPESEED) SEED OIL, LINUM USITATISSIMUM (LINSEED) SEED OIL, EMBLICA OFFICINALIS FRUIT EXTRACT, SODIUM COCO PG-DIMONIUM CHLORIDE PHOSPHATE, TETRASODIUM GLUTAMATE DIACETATE, SODIUM HYDROXIDE, POLYSORBATE 20, HYDROXYPROPYLGLUCONAMIDE, SILICONE QUATERNIUM-18, TRIDECETH-6, TRIDECETH-12, HYDROXYPROPYLAMMONIUM GLUCONATE, TARTARIC ACID, CETRIMONIUM CHLORIDE (AS A HAIR CONDITIONING AGENT, EN TANT QU'AGENT CAPILLAIRE HYDRATANT), GLYCOLIC ACID, CAPRYLYL GLYCOL, HEXYLENE GLYCOL, PHENOXYETHANOL, POTASSIUM SORBATE, BHT, CITRIC ACID, SODIUM BENZOATE, BENZYL ALCOHOL, (FRAGRANCE), LINALOOL, HEXYL CINNAMAL, BENZYL SALICYLATE","Product's animal testing policies,Leaping Bunny"
Fresh Monster,"Fresh Monster Hair Detangler Spray, Coconut Milk",04,Detangler,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
Water, Vegetable Glycerin, Pyrus Malus (Apple) Fruit Extract, Caprylyl/Capryl Glucoside, Argania Spinosa Kernel Oil (Argan Oil), Polyquaternium-4, Natural Fragrance, Sodium Citrate, Citric Acid, Sodium Benzoate, Potassium Sorbate","Product's animal testing policies,Unknown"
amika,Amika the wizard detangling primer,04,Detangler,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
cyclopentasiloxane, hippophae rhamnoides (sea buckthorn/argousier) fruit/seed oil, persea gratissima (avocado/avocat) oil, tocopheryl acetate, fragrance/parfum, benzyl benzoate, hydroxycitronellal, limonene, citronellol, coumarin, geraniol","Product's animal testing policies,Unknown"
,Kim Kimble Lavish Conditioning Detangler,04,Detangler,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
WATER, CAPRYLIC/ CAPRIC TRIGLYCERIDE, AMODIMETHICONE, HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER, ULMUS FULVA (SLIPPERY ELM) BARK EXTRACT, SALVIA HISPANICA (CHIA) SEED OIL, COCOS NUCIFERA (COCONUT) OIL, PERSEA GRATISSIMA (AVOCADO) OIL, ORYZA SATIVA (RICE) EXTRACT, POTASSIUM SORBATE, CITRIC ACID, SACCHAROMYCES FERMENT LYSATE FILTRATE, SODIUM BENZOATE, PHENOXYETHANOL, ETHYLHEXYLGLYCERIN, FRAGRANCE","Product's animal testing policies,Unknown"
