Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
,One+other Advanced Gel Polish + Lacquer Remover,02,Polish Remover,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
ACETONE, ISOPROPYL PALMITATE, DIMETHICONE.","Product's animal testing policies,Unknown"
Walgreens,"Walgreens, Regular Nail Polish Remover Pads",02,Polish Remover,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
ACETONE, WATER, PROPYLENE CARBONATE, DIMETHYL GLUTARATE, DIMETHYL ADIPATE, GLYCERIN, TOCOPHERYL ACETATE.","Product's animal testing policies,Unknown"
Bath &amp; Beauty,Bath & Beauty Nail Polish Remover,02,Polish Remover,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
ACETONE, CLYCERIN, PROPYLENE GLYCOL, TOCOPHERYL ACETATE","Product's animal testing policies,Unknown"
butter LONDON,Butter London Nail Scrubbers 2 in 1 Prep & Lacquer Remover Wipes,02,Polish Remover,LOW,MODERATE,LOW,LOW,"Ingredients from packaging:
ACETONE, PROPYLENE CARBONATE, AQUA/WATER/EAU, ALOE BARBADENSIS LEAF JUICE, PEG-75 LANOLIN, TOCOPHERYL ACETATE, POLYSORBATE 20","Product's animal testing policies,Unknown"
Bath &amp; Beauty,Bath & Beauty Nail Polish Remover,02,Polish Remover,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
ACETONE, GLYCERIN, PROPYLENE GLYCOL, TOCOPHERYL ACETATE","Product's animal testing policies,Unknown"
Walgreens,"Walgreens, Regular Nail Polish Remover Pads",02,Polish Remover,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
ACETONE, WATER, PROPYLENE CARBONATE, DIMETHYL GLUTARATE, DIMETHYL ADIPATE, GLYCERIN, TOCOPHERYL ACETATE.","Product's animal testing policies,Unknown"
Walgreens,"Walgreens, Regular Nail Polish Remover Pads",02,Polish Remover,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
ACETONE, WATER, PROPYLENE CARBONATE, DIMETHYL GLUTARATE, DIMETHYL ADIPATE, GLYCERIN, TOCOPHERYL ACETATE.","Product's animal testing policies,Unknown"
Nailtural,Nailtural Natural Nail Polish Remover,02,Polish Remover,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
ETHYL LACTATE, METHYL SOYATE, GLYCERIN, D-LIMONENE","Product's animal testing policies,Unknown"
Piggy Paint,Piggy Paint Nail Polish Remover,02,Polish Remover,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
METHY ACETATE, BUTOXYDIGLYCOL, ALOE BARBADENSIS (ALOE VERA), TOCOPHEROL (VICAMIN E), DENATONIUM BENZOATE (EMBITERING AGENT).","Product's animal testing policies,Unknown"
Daylogic,"Daylogic, Nail Polish Remover Acetone free, Lavender",02,Polish Remover,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
PROPYLENE CARBONATE, METHYL SOYATE, TOCOPHERYL ACETATE (VITAMIN E OIL), LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL, CITRUS GRANDIS (GRAPEFRUIT) SEED EXTRACT.","Product's animal testing policies,Unknown"
Daylogic,"Daylogic, Acetone Free, Nail Polish Remover Wipes Lavender",02,Polish Remover,LOW,MODERATE,LOW,MODERATE,"Ingredients from packaging:
PROPYLENE CARBONATE, METHYL SOYATE, TOCOPHERYL ACETATE (VITAMIN E OIL), LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL, CITRUS GRANDIS (GRAPEFRUIT) SEED EXTRACT.","Product's animal testing policies,Unknown"
Beauty Secrets,Beauty Secrets Professional Cleansing Alcohol,03,Polish Remover,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
ISOPROPYL ALCOHOL , WATER , FRAGRANCE","Product's animal testing policies,Unknown"
Cutex,Cutex Swipe and Go Nail Polish Remover Pads - 10ct - 3.5oz,03,Polish Remover,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
Acetone, Aqua ((Water) Eau), Linum Usitatissimum (Linseed) Seed Oil, Prunus Armeniaca (Apricot) Kernel Oil, Perilla Ocymoides Seed Oil, Denatonium Benzoate, Parfum (Fragrance). 24290","Product's animal testing policies,Unknown"
L.A. Colors,L.a. Colors Acetone Free Nail Polish Remover,03,Polish Remover,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
PROPYLENE CARBONATE, PROPYLENE GLYCOL, PARFUM (FRAGRANCE), LINALOOL, COUMARIN, LIMONENE","Product's animal testing policies,Unknown"
,Miss Merion Nail Polish Remover,03,Polish Remover,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
ACETONE, WATER, BUTYL ACETATE, ACETYLATED LANOLIN, ALCOHOL, FRAGRANCE. May Contain: D&C No33, FD&C Yellow No5, FD&C Blue No1","Product's animal testing policies,Unknown"
Plant Therapy,Plant Therapy Tropical Flower Natural Nail Polish Remover,03,Polish Remover,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
Methyl Acetate, Isopropyl Myristate, Natural Fragrance
Warnings from packaging:
HIGHLY FLAMMABLE. Keep away from heat or flame. Do not use in presence of open flame or sparks.","Product's animal testing policies,Leaping Bunny"
Kroger,Kroger Non Acetone Nail Polish Remover,03,Polish Remover,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
METHYL ACETATE, COCOS NUCIFERA (COCONUT) OIL, FRAGRANCE, DENATONIUM BENZOATE","Product's animal testing policies,Unknown"
Signature Care,"Signature Care, Non-Acetone Nail Polish Remover with Coconut oil",03,Polish Remover,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
METHYL ACETATE, COCOS NUCIFERA (COCONUT) OIL, FRAGRANCE, DENATONIUM BENZOATE","Product's animal testing policies,Unknown"
Signature Care,Signature Care Non Acetone Nail Polish Remover For Artificial Nails,03,Polish Remover,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
METHYL ACETATE, COCOS NUCIFERA (COCONUT) OIL, FRAGRANCE, DENATONIUM BENZOATE","Product's animal testing policies,Unknown"
Cutex,Cutex Tropical Breeze Nail Polish Remover,03,Polish Remover,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
ACETONE, LINUM USITATISSIMUM (LINSEED) SEED OIL, ALCOHOL DENAT., DENATONIUM BENZOATE, PRUNUS ARMENIACA (APRICOT) KERNEL OIL, FRAGRANCE","Product's animal testing policies,Unknown"
Publix,Publix Non Acetone Nail Polish Remover,03,Polish Remover,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
METHYL ACETATE, COCOS NUCIFERA (COCONUT) OIL, FRAGRANCE, DENATONIUM BENZOATE","Product's animal testing policies,Unknown"
Cutex,Cutex Ultra Powerful Nail Polish Remover,03,Polish Remover,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
Acetone, Perilla Ocymoides Seed Oil, Linum Usitatissimum (Linseed) Seed Oil, Prunus Armeniaca (Apricot) Kernel Oil, Denatonium Benzoate, Parfum (Fragrance), Benzyl Salicylate, Linalool, Hexyl Cinnamal","Product's animal testing policies,Unknown"
Equaline,Equaline Non Acetone Nail Polish Remover,03,Polish Remover,LOW,HIGH,LOW,LOW,"Ingredients from packaging:
METHYL ACETATE, COCOS NUCIFERA (COCONUT) OIL, FRAGRANCE, DENATONIUM BENZOATE","Product's animal testing policies,Unknown"
Walgreens,Walgreens Strengthening Nail Polish Remover,04,Polish Remover,MODERATE,HIGH,LOW,MODERATE,"Ingredients from packaging:
ACETONE, WATER, PROPYLENE CARBONATE, DIMETHYL GLUTARATE, GLYCERIN, TOCOPHERYL ACETATE, FRAGRANCE, DENATONIUM BENZOATE, RED 33, VIOLET 2","Product's animal testing policies,Unknown"
,Asp Conditioning Soak Off Solution,04,Polish Remover,MODERATE,HIGH,LOW,MODERATE,"Ingredients from packaging:
ACETONE, CARTHAMUS TINCTONIUS (SAFFLOWER) SEED OIL, TOCOPHERYL ACETATE, PARFUM FRAGRANCE), CI 26100 (RED 17), CI 60725 VIOLET 2).","Product's animal testing policies,Unknown"
Care One,"Careone Ease Off Nail Polish Remover, Eucalyptus",04,Polish Remover,LOW,HIGH,LOW,MODERATE,"Ingredients from packaging:
ACETONE, FRAGRANCE, EUCALYPTUS GLOBULUS LEAF OIL, MENTHA VIRIDIS (SPEARMINT) LEAF OIL, DENATONIUM BENZOATE.","Product's animal testing policies,Unknown"
Ella+mila,"Ella+mila Soy Polish Corrector Remover Pen, Lavender",04,Polish Remover,MODERATE,HIGH,HIGH,HIGH,"Ingredients from packaging:
DIMETHYL GLUTARATE, DIMETHYL ADIPATE, METHYL OLEATE /PALMITATE / LINOLEATE/ STEARATE, PEG-30 CASTOR OIL, LAVANDULA OFFICINALIS FLOWER OIL, LINALOOL, PEG-8 DIMETHICONE, OCTYLDODECANOL, TOCOPHERYL ACETATE, RETINYL PALMITATE, ASCORBIC ACID, SILICA, SODIUM PROPOXYHYDROXYPROPYL THIOSULFATE SILICA, GERANIOL, LIMONENE","Product's animal testing policies,Unknown"
,One+other Non Acetone Nail Polish Remover,04,Polish Remover,MODERATE,MODERATE,LOW,HIGH,"Ingredients from packaging:
WATER (AQUA), METHYL ACETATE, BUTOXYDIGLYCOL, DIMETHYL GLUTARATE, ISOPROPYL ALCOHOL, ALCOHOL, DIMETHYL SUCCINATE, DIMETHYL ADIPATE, BENZOPHENONE-1, SODIUM ACETATE, ETIDRONIC ACID, RED 33/CI 17200, YELLOW 11/CI 47000.","Product's animal testing policies,Unknown"
,One+Other Protein Enriched Nail Polish Remover,04,Polish Remover,MODERATE,MODERATE,LOW,MODERATE,"Ingredients from packaging:
ACETONE, AQUA, PROPYLENE CARBONATE, ISOPROPYL ALCOHOL, ALCOHOL, PROPYLENE GLYCOL, BENZOPHENONE-1, GLYCERIN, KERATIN AMINO ACIDS, DENATONIUM BENZOATE, BUTYLENE GLYCOL, RED 33/CI 17200, EXT. VIOLET 2/C1 60730.","Product's animal testing policies,Unknown"
