Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
e.l.f.,e.l.f. Cosmetics Hydrating Primer Mist,01,Makeup Primer,LOW,MODERATE,LOW,LOW,"Ingredients from packaging:
Water (Aqua), Butylene Glycol, Hydroxyacetophenone, 1, 2-Hexanediol, Niacinamide, Potassium Chloride, Sodium Chloride, Calcium Chloride, Magnesium Chloride, Coceth-7, Ppg-1-Peg-9 Lauryl Glycol Ether, Peg-40 Hydrogenated Castor Oil, Tocopheryl Acetate (Ve), Cucumis Sativus (Cucumber) Fruit Extract, Sodium Hyaluronate, Siloxanetriol Alginate, Caffeine","Product's animal testing policies,Unknown"
HUDA BEAUTY,"Huda Beauty N.Y.M.P.H. GLAZE Skin Glowing Perfector, Juno",01,Bronzer/Highlighter,LOW,LOW,LOW,LOW,"Ingredients from packaging:
phbc-2001-br- 034p/1 butyrospermum parkii (shea) butter, pentaerythrityl tetraisostearate, mica, octyldodecanol, diisopropyl sebacate, polybutene, copernicia cerifera (carnauba) wax/copernicia cerifera cera/cire de carnauba, diisostearyl malate, beeswax/cera alba/cire d'abeille, euphorbia cerifera (candelilla) wax/euphorbia cerifera cera/cire de candelilla, glyceryl behenate/eicosadioate, silica, squalene, tocopherol, silica dimethyl silylate, helianthus annuus (sunflower) seed oil, beta- sitosterol, tin oxide, titanium dioxide / ci 77891, iron oxides / ci 77491, iron oxides / ci 77499.","Product's animal testing policies,Unknown"
Physicians Formula,Physicians Formula Face Primer,01,Makeup Primer,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
,ISODODECANE, CAPRYLYL METHICONE, SILICA, DIMETHICONE/BIS-ISOBUTYL PPG-20 CROSSPOLYMER, PHENYL TRIMETHICONE, CAPRYLIC/CAPRIC TRIGLYCERIDE, DIETHYLHEXYL 2,6-NAPHTHALATE, POLYMETHYLSILSESQUIOXANE, ALUMINUM CHLOROHYDRATE, WATER/EAU, BUTYLENE GLYCOL, FOMES OFFICINALIS (MUSHROOM) EXTRACT, PHENOXYETHANOL, PEG-40 HYDROGENATED CASTOR OIL.","Product's animal testing policies,PETA Cruelty-free Companies"
Black Opal,Black Opal Invisible Oil Blocking Gel Primer,01,Makeup Primer,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Cyclopentasiloxane, Dimethicone/Vinyl Dimethicone Crosspoymer, Sodium C8-16 Isoalkylsuccinyl Lactoglobulin Sulfonate, Hamamelis Virginia (Witch Hazel), Water.","Product's animal testing policies,Unknown"
,Arches & Halos Tonya Crooks Professional Brow Building & Conditioning Primer,01,Makeup Primer,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
WATER (AQUA), ACRYLATES COPOLYMER, ALCOHOL, GLYCERIN, BUTYLENE GLYCOL, BETAINE, PHENOXYETHANOL, HYDROXYETHYLCELLULOSE, SACCHARIDE HYDROLYSATE, PANTHENOL, BETA-GLUCAN, SODIUM HYALURONATE, ETHYLHEXYLGLYCERIN, ECTOIN","Product's animal testing policies,Unknown"
Glamazon Beauty,"Glamazon Beauty Face Primer, Mystical Veil",01,Makeup Primer,LOW,LOW,LOW,LOW,"Ingredients from packaging:
: Polysilicone-11, Iso- Hexadecane, Polymethylsilses- Quioxane (And) Hdi/ Trimethylol Hexyllactone Crosspolymer, Sil- Ica Silylate, Camellia Sinensis (Green Tea) Oil, Caprylic/Capric Triglyceride, Pentaerythrityl Tetraisostearate, Spilantes Ac- Mella (Paracress) Flower Ext- Ract, Silica Dimethyl Silylate, Pentylene Glycol,Butylene Gly- Col, Sodium Chondroitin Sulfate, Atelocollagen","Product's animal testing policies,Unknown"
Klarity Kosmetics,Klarity Kosmetics Matte Eyeshadow Base,01,Eye Shadow,LOW,LOW,LOW,LOW,"Ingredients from packaging:
: Boron Nitride, Nylon 12, Allatoin, Magnesium Stearate, Sericite Mica","Product's animal testing policies,Unknown"
HUDA BEAUTY,"Huda Beauty N.Y.M.P.H. GLAZE Skin Glowing Perfector, Luna",01,Bronzer/Highlighter,LOW,LOW,LOW,LOW,"Ingredients from packaging:
phbc-2001-go- 030p butyrospermum parkii (shea) butter, pentaerythrityl tetraisostearate, synthetic fluorphlogopite, mica, octyldodecanol, diisopropyl sebacate, polybutene, copernicia cerifera (carnauba) wax/copernicia cerifera cera/cire de carnauba, diisostearyl malate, beeswax/cera alba/cire d'abeille, euphorbia cerifera (candelilla) wax/euphorbia cerifera cera/cire de candelilla, glyceryl behenate/eicosadioate, squalene, tocopherol, silica dimethyl silylate, helianthus annuus (sunflower) seed oil, beta-sitosterol, tin oxide, titanium dioxide / ci 77891, iron oxides / ci 77491.","Product's animal testing policies,Unknown"
HUDA BEAUTY,"Huda Beauty, N.Y.M.P.H. GLAZE Skin Glowing Perfector, Aphrodite",01,Bronzer/Highlighter,LOW,LOW,LOW,LOW,"Ingredients from packaging:
phbc-2001-br- 033p/1 butyrospermum parkii (shea) butter, pentaerythrityl tetraisostearate, mica, octyldodecanol, diisopropyl sebacate, polybutene, copernicia cerifera (carnauba) wax/copernicia cerifera cera/cire de carnauba, diisostearyl malate, beeswax/cera alba/cire d'abeille, euphorbia cerifera (candelilla) wax/euphorbia cerifera cera/cire de candelilla, glyceryl behenate/eicosadioate, squalene, tocopherol, silica dimethyl silylate, helianthus annuus (sunflower) seed oil, beta-sitosterol, tin oxide, titanium dioxide / ci 77891, iron oxides / ci 77491, iron oxides / ci 77499.","Product's animal testing policies,Unknown"
JASON WU,"Jason Wu Magic Matte Mattifying Face Oil, Ta Da 01",01,Makeup Primer,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
ISODODECANE, ISOHEXADECANE, SILICA SILYLATE, WATER(AQUA), SILICA, PHENOXYETHANOL, CAPRYLYL GLYCOL","Product's animal testing policies,PETA Cruelty-free Companies,Leaping Bunny"
Cover FX,Cover FX Dewy Skin Primer,01,Makeup Primer,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
Isoamyl Laurate, Hydrogenated Styrene/Isoprene Copolymer, Propylheptyl Caprylate, Coconut Alkanes, Squalane, Coco-Caprylate/- Caprate, Isohexadecane, 1,2 Hexanediol, Caprylyl Glycol, Ethylene/Propylene/Styrene Copolymer, Butylene/Ethylene/ Styrene Copolymer, Phenoxyethanol, Sodium Hyaluronate, Xanthan Gum, Tripeptide-1.","Product's animal testing policies,PETA Cruelty-free Companies"
