Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Rooted Beauty,Rooted Beauty Sensitive Skin Facial Towelettes,EWG Verified,Makeup Remover,,,,,"Ingredients from packaging:
Water, Polyglyceryl-4 Caprate, Glycerin, Althaea Officinalis (Marshmallow) Root, Arctium Lappa (Burdock) Root, Yucca Filamentosa (Yucca) Root, Zingiber Officinale (Ginger) Root, Panax Ginseng (Ginseng) Root, Glycyrrhiza Glabra (Licorice) Root, Angelica Archangelica (Wild Celery) Root, Aloe Barbadensis (Aloe Vera) Leaf Juice, Chamomilla Recutita (Chamomile) Flower Extract, Citrus Bergamia (Bergamot) Fruit Oil, Rosa Damascena (Rose) Flower Water, Dehydroacetic Acid, Benzoic Acid, Sorbitan Oleate Decylglucoside Crosspolymer, Sodium Chloride, Galactoarabinan, Potassium Sorbate, Sodium Benzoate, Phenoxyethanol, Sorbic Acid, Xanthan Gum, Caprylyl/Capryl Glucoside, Tocopherol, Biosaccharide Gum-1, Citric Acid
Warnings from packaging:
Caution: For external use only. Avoid contact with eyes. Keep out of reach of children.","EWG Verified,Product's animal testing policies,Unknown"
Be Green Bath &amp; Body,Be Green Bath & Body Makeup Remover,EWG Verified,Makeup Remover,,,,,"Ingredients from packaging:
Vitis Vinifera (Grape) Seed Oil, Europaea (Olive) Oil*, Ricinus Communis (Castor) Oil*, Lavandula Angustifolia (Lavender) Oil*, Citrus Nobilis (Mandarin Orange) Peel Oil.","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Organic to Green,"Organic to Green Coco Oil Liquid Coconut Oil, Ginger",EWG Verified,Facial Cleanser,,,,,"Ingredients from packaging:
Caprylic/Capric Triglyceride (coconut Fractionated), Cocos Nucifera (Organic Coconut Virgin) Oil*, Zingiber Officinale (Ginger) Essential Oil*, Annona Cherimola (Cherimoya) Extract*, Aloe Barbadensis Leaf (Aloe Vera) Extract*, Hippophae Rhamnoides (Sea Buckthorn) Fruit Oil*, Tocopheryl Acetate (Vitamin E). *Certified Organic (USDA or Ecocert)
Warnings from packaging:
0","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Rooted Beauty,Rooted Beauty Sensitive 3-in-1 Micellar Cleansing Water,EWG Verified,Facial Cleanser,,,,,"Ingredients from packaging:
Water, Aloe Barbadensis (Aloe Vera) Leaf Juice*, Glycerin, Polysorbate 80, Decyl Glucoside, Gluconolactone, Calcium Gluconate, Sodium Benzoate, Sodium Citrate, Hydroxyethylcellulose, Potassium Sorbate, Citrus Bergamia (Bergamot) Fruit Oil, Camellia Sinensis (Green Tea) Leaf Extract, Helianthus Annuus (Sunflower) Seed Oil*, Chamomilla Recutita (Matricaria) Flower Extract*, Althaea Officinalis (Marshmallow) Root Extract, Arctium Lappa (Burdock) Root Extract, Yucca Filamentosa Root Extract, Zingiber Officinale (Ginger) Root Extract, Panax Ginseng (Ginseng) Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Angelica Archangelica (Wild Celery) Root Extract, Citric Acid 
Warnings from packaging:
Caution: Avoid contact with eyes. If contact occurs, rinse thoroughly with water.","EWG Verified,Product's animal testing policies,Unknown"
Whamisa,Whamisa Organic Flowers Cleansing Oil,EWG Verified,Makeup Remover,,,,,"Ingredients from packaging:
*Corylus Avellana (Hazel) Seed Oil, **Caprylic/Capric Triglyceride, *Olea Europaea (Olive) Fruit Oil, *Persea Gratissima (Avocado) Oil, *Camellia Japonica Seed Oil, *Argania Spinosa Kernel Oil, *Simmondsia Chinensis (Jojoba) Seed Oil, ***Scutellaria Baicalensis Root Extract, ***Paeonia Suffruticosa Root Extract, ***Glycyrrhiza Glabra (Licorice) Root Extract, *Lactobacillus/Chrysanthemum Sinense Flower Ferment Filtrate, *Lactobacillus/Nelumbo Nucifera Flower Ferment Filtrate, *Lactobacillus/Taraxacum Officinate (Dandelion) Rhizome/Root Ferment Filtrate, Aniba Rosaeodora (Rosewood) Wood Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Geranium Maculatum Oil, p-Methoxybenzaldehyde, Hexyl acetate, Vanillin, Phenylacetic acid, gamma-Undecalactone.
Warnings from packaging:
[Precautions] Stop use if product causes irritation. If symptoms continue, seek medical advice. Do not use on wounds. Keep out of direct sunlight and extreme temperatures. For external use only. Keep out of reach of children.","EWG Verified,Product's animal testing policies,Unknown"
Sonage,Sonage Hydrating Cleanser,EWG Verified,Facial Cleanser,,,,,"Ingredients from packaging:
water, glycerin, ethylhexyl stearate, neopentyl glycol dicaprylate/dicaprate, cetearyl alcohol, stearyl alcohol, glyceryl stearate, sodium cocoyl sarcosinate, cetyl phosphate, stearic acid, simmondsia chinensis (jojoba) seed oil, triticum vulgare (wheat) germ oil, sesamum indicum (sesame) seed oil, corylus avellana (hazelnut) oil, prunus persica (peach) fruit extract, citrus sinensis (valencia orange) essential oil, polyacrylate crosspolymer-6, dehydroacetic acid, benzyl alcohol","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Rooted Beauty,Rooted Beauty Purifying Facial Towelettes,EWG Verified,Makeup Remover,,,,,"Ingredients from packaging:
Water, Polyglyceryl-4 Caprate, Glycerin, Althaea Officinalis (Marshmallow) Root, Arctium Lappa (Burdock) Root, Yucca Filamentosa (Yucca) Root, Zingiber Officinale (Ginger) Root, Panax Ginseng (Ginseng) Root, Glycyrrhiza Glabra (Licorice) Root, Angelica Archangelica (Wild Celery) Root, Calendula Officinalis (Marigold) Extract, Camellia Sinesis (White Tea) Leaf Extract, Citrus Aurantium Dulcis (Orange) Peel Extract, Citrus Limon (Lemon) Peel Extract, Lavandula Angustifolia (Lavender) Flower Extract, Vanilla Planifolia (Vanilla Orchid) Fruit Extract, Citrus Grandis (Grapefruit) Fruit Extract, Mentha Piperita (Peppermint) Leaf Extract, Mentha Viridis (Spearmint) Extract, Caprylic Capric Triglyceride, Dehydroacetic Acid, Benzoic Acid, Sorbitan Oleate Decylglucoside Crosspolymer, Sodium Chloride, Galactoarabinan, Potassium Sorbate, Phenoxyethanol, Xanthan Gum, Caprylyl/Capryl Glucoside, Tocopherol, Sodium Benzoate, Biosaccharide Gum-1, Citric Acid
Warnings from packaging:
Caution: For external use only. Avoid contact with eyes. Keep out of reach of children.","EWG Verified,Product's animal testing policies,Unknown"
Doctor Butler&#39;s,Doctor Butler's Organic Soothing Wipes,EWG Verified,Baby Wipes,,,,,"Ingredients from packaging:
Organic Bamboo Cloth, Filtered Water, Vitamin E (Non-Synthetic Tocopherols), Rosemary Oil Extract, Lysine, Calendula Officinalis, Chamomilia Recutita, Sodium Citrate, Betaine","EWG Verified,Product's animal testing policies,Unknown"
C&#39;est Moi,C'est Moi Gentle Makeup Remover Cleansing Wipes,EWG Verified,Makeup Remover,,,,,"Ingredients from packaging:
Aqua/Water/Eau, Propanediol, Polyglyceryl-4 Caprate, Camellia Sinensis (Green Tea) Leaf Extract*, Cucumis Sativus (Cucumber) Fruit Extract*, Aloe Barbadensis Leaf Juice*, Sodium PCA, Glycerin*, Polyglyceryl-6 Caprylate, Polyglyceryl-6 Ricinoleate, Polyglyceryl-4 Cocoate, Disodium Cocoamphodiacetate, Sodium Laurylglucosides Hydroxypropylsulfonate, Caprylic/Capric Triglyceride, Sodium Chloride, Citric Acid, Caprylyl Glycol, Tetrasodium Glutamate Diacetate, Sodium Hydroxide, Sodium Benzoate, Potassium Sorbate, Phenoxyethanol. *Organic/Biologique","EWG Verified,Product's animal testing policies,Unknown"
Honest Beauty,Honest Beauty Makeup Remover Wipes,EWG Verified,Eye Makeup Remover,,,,,"Ingredients from packaging:
Water, Propanediol, Isopropyl palmitate, Glycolipids, Hydroxyacetophenone, Glyceryl Citrate/Lactate/Linoleate/Oleate, 1,2-Hexanediol, Caprylyl Glycol, Polyglyceryl-4 Cocoate, Polyglyceryl-3 Caprate, Glyceryl Caprylate, Trisodium Ethylenediamine Disuccinate, Sodium Citrate","EWG Verified,Product's animal testing policies,PETA Cruelty-free Companies"
Qet Botanicals,Qet Botanicals Eye Makeup Remover,EWG Verified,Makeup Remover,,,,,"Ingredients from packaging:
Carthamus Tinctorius (Safflower) Seed Oil*, Vitis Vinifera (Grape) Seed Oil*, Vaccinium Macrocarpon (Cranberry) Seed Oil, Lavandula Angustifolia (Lavender) Flower Oil*, Tocopherol (Non-GMO Vitamin E). *Organic Ingredient
Warnings from packaging:
If you have a negative reaction, discontinue use and consult with a health professional.","EWG Verified,Product's animal testing policies,Unknown"
True Botanicals,True Botanicals Calm Ginger Turmeric Cleansing Balm,EWG Verified,Facial Cleanser,,,,,"Ingredients from packaging:
helianthus annuus (sunflower) seed oil*, hydrogenated vegetable oil, polyglyceryl-4 oleate, persea gratissima (avocado) oil, hydrogenated jojoba oil, cetearyl olivate, sorbitan olivate, citrus reticulata (tangerine) peel oil*, argania spinosa (argan) kernel oil*, avena sativa (oat) kernel oil, cucumis sativus (cucumber) oil*, zingiber officinale (ginger) root oil*, vaccinium myrtillus fruit/leaf extract, curcuma longa (turmeric) root extract, saccharum officinarum (sugarcane) extract, citrus aurantium dulcis (orange) fruit extract, citrus limon (lemon) fruit extract, acer saccharum (sugar maple) extract, yucca schidigera extract, tocopherol, citrus aurantium (neroli) oil, azelaic acid, lactic acid, phosphoric acid, sodium benzoate, aqua/water/eau, limonene, geraniol, linalool.","EWG Verified,Product's animal testing policies,Leaping Bunny"
